[2026-07-27T10:22:57.220Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T10:22:57.220Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T10:24:57.233Z] [INFO] Worker map deferred: CPU load too high: 17.09
[2026-07-27T10:26:57.242Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:26:57.242Z] [INFO] Worker audit completed in 0ms
[2026-07-27T10:26:57.243Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T10:26:57.243Z] [INFO] Worker map completed in 0ms
[2026-07-27T10:28:57.234Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T10:28:57.234Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T10:30:57.223Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T10:30:57.223Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T10:30:57.223Z] [INFO] Worker consolidate completed in 0ms
[2026-07-27T10:36:57.247Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:36:57.247Z] [INFO] Worker audit completed in 0ms
[2026-07-27T10:39:57.237Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T10:39:57.237Z] [INFO] Worker map completed in 0ms
[2026-07-27T10:42:57.225Z] [INFO] Worker testgaps deferred: CPU load too high: 17.37
[2026-07-27T10:43:57.238Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T10:43:57.238Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T10:43:57.239Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T10:43:57.239Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T10:46:57.251Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:46:57.251Z] [INFO] Worker audit completed in 1ms
[2026-07-27T10:54:57.242Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T10:54:57.243Z] [INFO] Worker map completed in 1ms
[2026-07-27T10:56:57.254Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:56:57.254Z] [INFO] Worker audit completed in 0ms
[2026-07-27T10:58:57.242Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T10:58:57.242Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T11:00:57.228Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T11:00:57.228Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T11:00:57.228Z] [INFO] Worker consolidate completed in 0ms
[2026-07-27T11:02:57.228Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T11:02:57.229Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T11:06:57.258Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T11:06:57.258Z] [INFO] Worker audit completed in 0ms
[2026-07-27T11:09:57.244Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T11:09:57.244Z] [INFO] Worker map completed in 0ms
[2026-07-27T11:13:57.246Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T11:13:57.246Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T11:16:57.261Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T11:16:57.261Z] [INFO] Worker audit completed in 0ms
[2026-07-27T11:22:57.231Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T11:22:57.231Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T11:24:57.247Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T11:24:57.247Z] [INFO] Worker map completed in 0ms
[2026-07-27T11:26:57.264Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T11:26:57.264Z] [INFO] Worker audit completed in 0ms
[2026-07-27T11:28:57.249Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T11:28:57.249Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T11:30:57.230Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T11:30:57.230Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T11:30:57.230Z] [INFO] Worker consolidate completed in 1ms
[2026-07-27T11:36:57.266Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T11:36:57.266Z] [INFO] Worker audit completed in 0ms
[2026-07-27T11:39:57.249Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T11:39:57.250Z] [INFO] Worker map completed in 1ms
[2026-07-27T11:42:57.234Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T11:42:57.234Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T11:43:57.251Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T11:43:57.251Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T11:46:57.268Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T11:46:57.268Z] [INFO] Worker audit completed in 0ms
[2026-07-27T11:54:57.255Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T11:54:57.255Z] [INFO] Worker map completed in 0ms
[2026-07-27T11:56:57.271Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T11:56:57.271Z] [INFO] Worker audit completed in 0ms
[2026-07-27T11:58:57.258Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T11:58:57.258Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T12:00:57.235Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T12:00:57.235Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T12:00:57.235Z] [INFO] Worker consolidate completed in 0ms
[2026-07-27T12:02:57.239Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T12:02:57.239Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T12:06:57.276Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T12:06:57.276Z] [INFO] Worker audit completed in 1ms
[2026-07-27T12:09:57.262Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T12:09:57.262Z] [INFO] Worker map completed in 0ms
[2026-07-27T12:13:57.263Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T12:13:57.263Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T12:16:57.280Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T12:16:57.281Z] [INFO] Worker audit completed in 1ms
[2026-07-27T12:22:57.243Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T12:22:57.243Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T12:24:57.267Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T12:24:57.267Z] [INFO] Worker map completed in 0ms
[2026-07-27T12:26:57.285Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T12:26:57.285Z] [INFO] Worker audit completed in 0ms
[2026-07-27T12:28:57.267Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T12:28:57.268Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T12:30:57.238Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T12:30:57.238Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T12:30:57.239Z] [INFO] Worker consolidate completed in 1ms
[2026-07-27T12:36:57.289Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T12:36:57.289Z] [INFO] Worker audit completed in 0ms
[2026-07-27T12:39:57.271Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T12:39:57.271Z] [INFO] Worker map completed in 0ms
[2026-07-27T12:42:57.246Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T12:42:57.246Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T12:43:57.271Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T12:43:57.271Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T12:46:57.291Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T12:46:57.291Z] [INFO] Worker audit completed in 0ms
[2026-07-27T12:54:57.273Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T12:54:57.273Z] [INFO] Worker map completed in 1ms
[2026-07-27T12:56:57.294Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T12:56:57.295Z] [INFO] Worker audit completed in 1ms
[2026-07-27T12:58:57.274Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T12:58:57.274Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T13:00:57.240Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T13:00:57.240Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T13:00:57.241Z] [INFO] Worker consolidate completed in 1ms
[2026-07-27T13:02:57.248Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T13:02:57.249Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T13:06:57.296Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T13:06:57.297Z] [INFO] Worker audit completed in 1ms
[2026-07-27T13:09:57.274Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T13:09:57.274Z] [INFO] Worker map completed in 0ms
[2026-07-27T13:13:57.276Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T13:13:57.277Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T13:16:57.298Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T13:16:57.298Z] [INFO] Worker audit completed in 0ms
[2026-07-27T13:22:57.250Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T13:22:57.250Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T13:24:57.275Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T13:24:57.275Z] [INFO] Worker map completed in 0ms
[2026-07-27T13:26:57.304Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T13:26:57.304Z] [INFO] Worker audit completed in 0ms
[2026-07-27T13:28:57.282Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T13:28:57.282Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T13:30:57.246Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T13:30:57.246Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T13:30:57.246Z] [INFO] Worker consolidate completed in 0ms
[2026-07-27T13:36:57.306Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T13:36:57.306Z] [INFO] Worker audit completed in 0ms
[2026-07-27T13:39:57.281Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T13:39:57.281Z] [INFO] Worker map completed in 0ms
[2026-07-27T13:42:57.256Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T13:42:57.256Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T13:43:57.287Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T13:43:57.287Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T13:46:57.311Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T13:46:57.311Z] [INFO] Worker audit completed in 0ms
[2026-07-27T13:54:57.286Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T13:54:57.286Z] [INFO] Worker map completed in 1ms
[2026-07-27T13:56:57.314Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T13:56:57.315Z] [INFO] Worker audit completed in 1ms
[2026-07-27T13:58:57.291Z] [INFO] Worker optimize deferred: CPU load too high: 16.62
[2026-07-27T14:00:57.250Z] [INFO] Worker consolidate deferred: CPU load too high: 20.94
[2026-07-27T14:02:57.260Z] [INFO] Worker testgaps deferred: CPU load too high: 28.75
[2026-07-27T14:06:57.317Z] [INFO] Worker audit deferred: CPU load too high: 32.57
[2026-07-27T14:09:57.289Z] [INFO] Starting worker: map (1/2 concurrent)
